City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,broken hill,-31.95,141.4333,51.51,66,94,5.75,AU,1628243761
84,okhotsk,59.3833,143.3,61.45,59,70,14.29,RU,1628243764
85,chuy,-33.6971,-53.4616,57.25,90,99,8.68,UY,1628243768
86,lenger,42.183,69.8839,96.24,13,16,7.45,KZ,1628243771
87,dingle,10.9995,122.6711,81.77,79,80,11.03,PH,1628243774
88,hambantota,6.1241,81.1185,91.74,66,40,18.41,LK,1628243778
89,ribeira grande,38.5167,-28.7,75.6,69,40,5.75,PT,1628243781
90,castro,-24.7911,-50.0119,46.27,99,100,5.59,BR,1628243785
91,hermanus,-34.4187,19.2345,67.89,71,0,3.91,ZA,1628243788
92,boleslawiec,51.2642,15.5697,73.17,59,58,5.7,PL,1628243792
93,tijuana,32.5333,-117.0167,67.77,88,90,0.0,MX,1628243758
94,arraial do cabo,-22.9661,-42.0278,66.06,94,75,5.75,BR,1628243801
95,wau,7.7029,27.9953,92.19,46,61,3.13,SS,1628243805
96,araouane,18.9048,-3.5265,91.53,36,22,12.73,ML,1628243808
97,paamiut,61.994,-49.6678,43.23,92,73,0.2,GL,1628243812
98,san rafael,-34.6177,-68.3301,55.44,32,99,4.23,AR,1628243815
99,madang,-5.2246,145.7966,78.98,86,53,8.63,PG,1628243818
100,sessa aurunca,41.2408,13.9328,83.64,71,13,9.55,IT,1628243822
101,kodiak,57.79,-152.4072,53.11,94,90,3.44,US,1628243825
102,tsaratanana,-16.7833,47.65,79.84,33,1,9.6,MG,1628243828
103,cherskiy,68.75,161.3,44.94,82,82,7.99,RU,1628243832
104,clyde river,70.4692,-68.5914,37.63,100,90,8.05,CA,1628243839
105,bambous virieux,-20.3428,57.7575,74.21,68,75,10.36,MU,1628243842
106,sao miguel do araguaia,-13.275,-50.1628,68.43,42,100,6.38,BR,1628243845
107,dongsheng,39.8161,109.9776,79.45,18,100,5.01,CN,1628243849
108,dali,25.7,100.1833,77.04,61,64,4.76,CN,1628243852
109,kitui,-1.367,38.0106,78.04,41,58,9.6,KE,1628243856
110,qaanaaq,77.484,-69.3632,42.8,59,3,5.68,GL,1628243859
111,yellowknife,62.456,-114.3525,56.28,67,40,8.05,CA,1628243862
112,butaritari,3.0707,172.7902,83.82,66,27,12.06,KI,1628243866
113,hervey bay,-25.2986,152.8535,61.02,72,84,9.24,AU,1628243869
114,saldanha,-33.0117,17.9442,60.85,65,0,3.47,ZA,1628243873
115,sao joao da barra,-21.6403,-41.0511,62.69,79,10,2.95,BR,1628243876
116,naze,28.3667,129.4833,79.72,87,78,5.08,JP,1628243879
117,karratha,-20.7377,116.8463,72.23,50,41,13.47,AU,1628243886
118,hilo,19.7297,-155.09,73.26,93,85,5.01,US,1628243889
119,ola,59.5833,151.2833,54.16,62,59,17.6,RU,1628243893
120,si sa ket,14.8333,104.3333,86.22,70,99,12.57,TH,1628243896
121,mirnyy,62.5353,113.9611,74.14,27,5,7.92,RU,1628243900
122,tabuk,17.4189,121.4443,87.42,63,100,2.21,PH,1628243903
123,acapulco,16.8634,-99.8901,76.86,89,100,6.11,MX,1628243906
124,kapaa,22.0752,-159.319,77.11,80,27,3.0,US,1628243910
125,abu kamal,34.4506,40.9171,108.93,13,6,14.07,SY,1628243913
126,elk point,42.6833,-96.6836,70.34,80,60,4.0,US,1628243920
127,yuanping,38.7153,112.7575,85.01,34,75,4.59,CN,1628243923
128,camacha,33.0833,-16.3333,71.02,83,75,10.36,PT,1628243926
129,portland,45.5234,-122.6762,68.02,81,95,1.99,US,1628243832
130,mercato san severino,40.7812,14.7569,82.35,54,51,7.0,IT,1628243933
131,tefe,-3.3542,-64.7114,70.68,95,41,1.39,BR,1628243936
132,egvekinot,66.3167,-179.1667,45.73,90,100,10.51,RU,1628243940
133,doume,4.2333,13.45,77.49,73,100,3.6,CM,1628243943
134,denpasar,-8.65,115.2167,82.06,83,20,18.41,ID,1628243947
135,quatre cocos,-20.2078,57.7625,74.08,66,62,11.54,MU,1628243950
136,sobolevo,54.4299,31.8996,65.46,93,100,10.69,RU,1628243953
137,yingkou,40.6648,122.2283,78.37,78,7,5.64,CN,1628243957
138,mahebourg,-20.4081,57.7,74.25,68,75,10.36,MU,1628243960
139,bathsheba,13.2167,-59.5167,81.21,78,40,14.97,BB,1628243964
140,harlingen,26.1906,-97.6961,80.98,96,93,5.44,US,1628243967
141,muli,2.9167,73.5667,82.13,76,100,10.63,MV,1628243970
142,maumere,-8.6199,122.2111,79.59,71,61,2.82,ID,1628243974
143,bahia honda,22.9036,-83.1592,77.07,87,65,3.94,CU,1628243977
144,severo-kurilsk,50.6789,156.125,52.21,77,8,10.89,RU,1628243981
